PTS,MATCHUP,Player Name,Player ID,Opponent Team
27,DAL @ ATL,Luka Dončić,1629029,ATL
22,DAL @ ATL,Luka Dončić,1629029,ATL
42,DAL @ BOS,Luka Dončić,1629029,BOS
33,DAL vs. BOS,Luka Dončić,1629029,BOS
36,DAL @ BOS,Luka Dončić,1629029,BOS
26,DAL @ BOS,Luka Dončić,1629029,BOS
23,DAL vs. BOS,Luka Dončić,1629029,BOS
31,DAL vs. BOS,Luka Dončić,1629029,BOS
41,DAL @ BKN,Luka Dončić,1629029,BKN
36,DAL vs. BKN,Luka Dončić,1629029,BKN
24,DAL vs. BKN,Luka Dončić,1629029,BKN
37,DAL @ BKN,Luka Dončić,1629029,BKN
27,DAL @ BKN,Luka Dončić,1629029,BKN
28,DAL vs. BKN,Luka Dončić,1629029,BKN
40,DAL @ CHA,Luka Dončić,1629029,CHA
34,DAL vs. CHA,Luka Dončić,1629029,CHA
37,DAL @ CHA,Luka Dončić,1629029,CHA
34,DAL @ CHA,Luka Dončić,1629029,CHA
12,DAL vs. CHA,Luka Dončić,1629029,CHA
20,DAL @ CHI,Luka Dončić,1629029,CHI
36,DAL vs. CHI,Luka Dončić,1629029,CHI
22,DAL vs. CHI,Luka Dončić,1629029,CHI
13,DAL vs. CHI,Luka Dončić,1629029,CHI
25,DAL vs. CLE,Luka Dončić,1629029,CLE
15,DAL @ CLE,Luka Dončić,1629029,CLE
24,DAL vs. CLE,Luka Dončić,1629029,CLE
35,DAL @ CLE,Luka Dončić,1629029,CLE
30,DAL vs. CLE,Luka Dončić,1629029,CLE
16,DAL @ DEN,Luka Dončić,1629029,DEN
22,DAL vs. DEN,Luka Dončić,1629029,DEN
33,DAL vs. DEN,Luka Dončić,1629029,DEN
23,DAL vs. DEN,Luka Dončić,1629029,DEN
21,DAL @ DEN,Luka Dončić,1629029,DEN
35,DAL vs. DEN,Luka Dončić,1629029,DEN
38,DAL @ DEN,Luka Dončić,1629029,DEN
21,DAL vs. DEN,Luka Dončić,1629029,DEN
37,DAL @ DEN,Luka Dončić,1629029,DEN
22,DAL @ DEN,Luka Dončić,1629029,DEN
53,DAL vs. DET,Luka Dončić,1629029,DET
33,DAL vs. DET,Luka Dončić,1629029,DET
35,DAL @ DET,Luka Dončić,1629029,DET
30,DAL vs. DET,Luka Dončić,1629029,DET
26,DAL @ DET,Luka Dončić,1629029,DET
41,DAL vs. GSW,Luka Dončić,1629029,GSW
30,DAL vs. GSW,Luka Dončić,1629029,GSW
41,DAL vs. GSW,Luka Dončić,1629029,GSW
25,DAL @ GSW,Luka Dončić,1629029,GSW
26,DAL vs. GSW,Luka Dončić,1629029,GSW
34,DAL @ GSW,Luka Dončić,1629029,GSW
42,DAL vs. GSW,Luka Dončić,1629029,GSW
27,DAL vs. GSW,Luka Dončić,1629029,GSW
39,DAL @ GSW,Luka Dončić,1629029,GSW
26,DAL vs. HOU,Luka Dončić,1629029,HOU
30,DAL @ HOU,Luka Dončić,1629029,HOU
26,DAL vs. HOU,Luka Dončić,1629029,HOU
33,DAL @ HOU,Luka Dončić,1629029,HOU
39,DAL @ HOU,Luka Dončić,1629029,HOU
35,DAL vs. HOU,Luka Dončić,1629029,HOU
50,DAL @ HOU,Luka Dončić,1629029,HOU
23,DAL @ HOU,Luka Dončić,1629029,HOU
25,DAL @ IND,Luka Dončić,1629029,IND
30,DAL vs. IND,Luka Dončić,1629029,IND
13,DAL @ IND,Luka Dončić,1629029,IND
39,DAL vs. IND,Luka Dončić,1629029,IND
27,DAL @ IND,Luka Dončić,1629029,IND
26,DAL @ LAC,Luka Dončić,1629029,LAC
35,DAL vs. LAC,Luka Dončić,1629029,LAC
42,DAL vs. LAC,Luka Dončić,1629029,LAC
25,DAL vs. LAC,Luka Dončić,1629029,LAC
29,DAL vs. LAC,Luka Dončić,1629029,LAC
43,DAL @ LAC,Luka Dončić,1629029,LAC
45,DAL vs. LAC,Luka Dončić,1629029,LAC
51,DAL vs. LAC,Luka Dončić,1629029,LAC
24,DAL @ LAC,Luka Dončić,1629029,LAC
34,DAL vs. LAL,Luka Dončić,1629029,LAL
25,DAL @ LAL,Luka Dončić,1629029,LAL
35,DAL @ LAL,Luka Dončić,1629029,LAL
26,DAL vs. LAL,Luka Dončić,1629029,LAL
32,DAL vs. LAL,Luka Dončić,1629029,LAL
27,DAL @ LAL,Luka Dončić,1629029,LAL
18,DAL vs. LAL,Luka Dončić,1629029,LAL
30,DAL vs. LAL,Luka Dončić,1629029,LAL
32,DAL vs. MEM,Luka Dončić,1629029,MEM
12,DAL @ MEM,Luka Dončić,1629029,MEM
37,DAL vs. MEM,Luka Dončić,1629029,MEM
27,DAL @ MEM,Luka Dončić,1629029,MEM
21,DAL vs. MEM,Luka Dončić,1629029,MEM
26,DAL @ MEM,Luka Dončić,1629029,MEM
29,DAL @ MEM,Luka Dončić,1629029,MEM
33,DAL vs. MIA,Luka Dončić,1629029,MIA
23,DAL @ MIA,Luka Dončić,1629029,MIA
34,DAL vs. MIA,Luka Dončić,1629029,MIA
27,DAL vs. MIA,Luka Dončić,1629029,MIA
21,DAL @ MIA,Luka Dončić,1629029,MIA
42,DAL @ MIA,Luka Dončić,1629029,MIA
27,DAL @ MIL,Luka Dončić,1629029,MIL
28,DAL @ MIL,Luka Dončić,1629029,MIL
33,DAL vs. MIL,Luka Dončić,1629029,MIL
27,DAL vs. MIL,Luka Dončić,1629029,MIL
32,DAL @ MIL,Luka Dončić,1629029,MIL
18,DAL @ MIN,Luka Dončić,1629029,MIN
24,DAL @ MIN,Luka Dončić,1629029,MIN
15,DAL @ MIN,Luka Dončić,1629029,MIN
15,DAL vs. MIN,Luka Dončić,1629029,MIN
33,DAL vs. MIN,Luka Dončić,1629029,MIN
26,DAL vs. MIN,Luka Dončić,1629029,MIN
25,DAL @ MIN,Luka Dončić,1629029,MIN
19,DAL @ MIN,Luka Dončić,1629029,MIN
37,DAL @ NOP,Luka Dončić,1629029,NOP
25,DAL vs. NOP,Luka Dončić,1629029,NOP
33,DAL vs. NOP,Luka Dončić,1629029,NOP
15,DAL @ NOP,Luka Dončić,1629029,NOP
34,DAL vs. NOP,Luka Dončić,1629029,NOP
49,DAL @ NOP,Luka Dončić,1629029,NOP
46,DAL vs. NOP,Luka Dončić,1629029,NOP
31,DAL vs. NOP,Luka Dončić,1629029,NOP
21,DAL vs. NOP,Luka Dončić,1629029,NOP
28,DAL @ NOP,Luka Dončić,1629029,NOP
31,DAL vs. NYK,Luka Dončić,1629029,NYK
21,DAL @ NYK,Luka Dončić,1629029,NYK
60,DAL vs. NYK,Luka Dončić,1629029,NYK
30,DAL @ NYK,Luka Dončić,1629029,NYK
22,DAL vs. NYK,Luka Dončić,1629029,NYK
26,DAL @ NYK,Luka Dončić,1629029,NYK
31,DAL vs. OKC,Luka Dončić,1629029,OKC
25,DAL @ OKC,Luka Dončić,1629029,OKC
20,DAL vs. OKC,Luka Dončić,1629029,OKC
14,DAL @ OKC,Luka Dončić,1629029,OKC
40,DAL vs. OKC,Luka Dončić,1629029,OKC
38,DAL vs. OKC,Luka Dončić,1629029,OKC
44,DAL vs. ORL,Luka Dončić,1629029,ORL
24,DAL @ ORL,Luka Dončić,1629029,ORL
33,DAL @ ORL,Luka Dončić,1629029,ORL
34,DAL @ ORL,Luka Dončić,1629029,ORL
23,DAL vs. ORL,Luka Dončić,1629029,ORL
20,DAL vs. ORL,Luka Dončić,1629029,ORL
24,DAL @ PHI,Luka Dončić,1629029,PHI
17,DAL @ PHI,Luka Dončić,1629029,PHI
42,DAL vs. PHI,Luka Dončić,1629029,PHI
19,DAL @ PHI,Luka Dončić,1629029,PHI
33,DAL vs. PHI,Luka Dončić,1629029,PHI
32,DAL vs. PHI,Luka Dončić,1629029,PHI
35,DAL @ PHX,Luka Dončić,1629029,PHX
34,DAL vs. PHX,Luka Dončić,1629029,PHX
29,DAL vs. PHX,Luka Dončić,1629029,PHX
0,DAL @ PHX,Luka Dončić,1629029,PHX
28,DAL vs. PHX,Luka Dončić,1629029,PHX
25,DAL vs. PHX,Luka Dončić,1629029,PHX
32,DAL @ PHX,Luka Dončić,1629029,PHX
33,DAL vs. PHX,Luka Dončić,1629029,PHX
42,DAL vs. POR,Luka Dončić,1629029,POR
37,DAL @ POR,Luka Dončić,1629029,POR
38,DAL @ POR,Luka Dončić,1629029,POR
15,DAL @ POR,Luka Dončić,1629029,POR
15,DAL @ POR,Luka Dončić,1629029,POR
44,DAL vs. POR,Luka Dončić,1629029,POR
33,DAL vs. POR,Luka Dončić,1629029,POR
39,DAL vs. POR,Luka Dončić,1629029,POR
23,DAL vs. SAC,Luka Dončić,1629029,SAC
30,DAL vs. SAC,Luka Dončić,1629029,SAC
27,DAL @ SAC,Luka Dončić,1629029,SAC
24,DAL @ SAC,Luka Dončić,1629029,SAC
37,DAL vs. SAC,Luka Dončić,1629029,SAC
29,DAL vs. SAC,Luka Dončić,1629029,SAC
25,DAL vs. SAS,Luka Dončić,1629029,SAS
32,DAL @ SAS,Luka Dončić,1629029,SAS
23,DAL @ SAS,Luka Dončić,1629029,SAS
22,DAL vs. SAS,Luka Dončić,1629029,SAS
36,DAL @ SAS,Luka Dončić,1629029,SAS
28,DAL vs. SAS,Luka Dončić,1629029,SAS
51,DAL @ SAS,Luka Dončić,1629029,SAS
29,DAL vs. SAS,Luka Dončić,1629029,SAS
26,DAL vs. SAS,Luka Dončić,1629029,SAS
27,DAL @ TOR,Luka Dončić,1629029,TOR
24,DAL @ TOR,Luka Dončić,1629029,TOR
35,DAL vs. TOR,Luka Dončić,1629029,TOR
20,DAL vs. TOR,Luka Dončić,1629029,TOR
41,DAL vs. TOR,Luka Dončić,1629029,TOR
15,DAL @ TOR,Luka Dončić,1629029,TOR
33,DAL vs. UTA,Luka Dončić,1629029,UTA
32,DAL vs. UTA,Luka Dončić,1629029,UTA
29,DAL vs. UTA,Luka Dončić,1629029,UTA
35,DAL vs. UTA,Luka Dončić,1629029,UTA
25,DAL @ UTA,Luka Dončić,1629029,UTA
30,DAL @ UTA,Luka Dončić,1629029,UTA
23,DAL @ UTA,Luka Dončić,1629029,UTA
31,DAL vs. UTA,Luka Dončić,1629029,UTA
33,DAL vs. WAS,Luka Dončić,1629029,WAS
22,DAL @ WAS,Luka Dončić,1629029,WAS
31,DAL vs. WAS,Luka Dončić,1629029,WAS
41,DAL vs. WAS,Luka Dončić,1629029,WAS
26,DAL @ WAS,Luka Dončić,1629029,WAS
36,DAL @ WAS,Luka Dončić,1629029,WAS
22,DEN vs. ATL,Nikola Jokić,203999,ATL
16,DEN vs. ATL,Nikola Jokić,203999,ATL
15,DEN @ ATL,Nikola Jokić,203999,ATL
14,DEN vs. ATL,Nikola Jokić,203999,ATL
20,DEN @ ATL,Nikola Jokić,203999,ATL
24,DEN @ ATL,Nikola Jokić,203999,ATL
29,DEN @ BOS,Nikola Jokić,203999,BOS
23,DEN vs. BOS,Nikola Jokić,203999,BOS
30,DEN vs. BOS,Nikola Jokić,203999,BOS
43,DEN @ BOS,Nikola Jokić,203999,BOS
23,DEN @ BOS,Nikola Jokić,203999,BOS
17,DEN vs. BOS,Nikola Jokić,203999,BOS
29,DEN vs. BKN,Nikola Jokić,203999,BKN
22,DEN @ BKN,Nikola Jokić,203999,BKN
35,DEN vs. BKN,Nikola Jokić,203999,BKN
26,DEN @ BKN,Nikola Jokić,203999,BKN
23,DEN @ BKN,Nikola Jokić,203999,BKN
27,DEN vs. BKN,Nikola Jokić,203999,BKN
30,DEN @ CHA,Nikola Jokić,203999,CHA
26,DEN @ CHA,Nikola Jokić,203999,CHA
12,DEN vs. CHA,Nikola Jokić,203999,CHA
30,DEN @ CHA,Nikola Jokić,203999,CHA
29,DEN vs. CHA,Nikola Jokić,203999,CHA
40,DEN vs. CHA,Nikola Jokić,203999,CHA
8,DEN @ CHI,Nikola Jokić,203999,CHI
34,DEN vs. CHI,Nikola Jokić,203999,CHI
18,DEN vs. CHI,Nikola Jokić,203999,CHI
39,DEN @ CHI,Nikola Jokić,203999,CHI
17,DEN @ CHI,Nikola Jokić,203999,CHI
24,DEN vs. CLE,Nikola Jokić,203999,CLE
32,DEN @ CLE,Nikola Jokić,203999,CLE
28,DEN vs. CLE,Nikola Jokić,203999,CLE
24,DEN @ CLE,Nikola Jokić,203999,CLE
16,DEN @ CLE,Nikola Jokić,203999,CLE
12,DEN vs. CLE,Nikola Jokić,203999,CLE
11,DEN vs. DAL,Nikola Jokić,203999,DAL
35,DEN @ DAL,Nikola Jokić,203999,DAL
26,DEN vs. DAL,Nikola Jokić,203999,DAL
20,DEN @ DAL,Nikola Jokić,203999,DAL
38,DEN vs. DAL,Nikola Jokić,203999,DAL
27,DEN @ DAL,Nikola Jokić,203999,DAL
14,DEN vs. DAL,Nikola Jokić,203999,DAL
19,DEN vs. DAL,Nikola Jokić,203999,DAL
31,DEN vs. DET,Nikola Jokić,203999,DET
20,DEN @ DET,Nikola Jokić,203999,DET
30,DEN @ DET,Nikola Jokić,203999,DET
28,DEN @ DET,Nikola Jokić,203999,DET
34,DEN vs. DET,Nikola Jokić,203999,DET
27,DEN vs. DET,Nikola Jokić,203999,DET
26,DEN @ GSW,Nikola Jokić,203999,GSW
23,DEN vs. GSW,Nikola Jokić,203999,GSW
32,DEN vs. GSW,Nikola Jokić,203999,GSW
23,DEN vs. GSW,Nikola Jokić,203999,GSW
35,DEN @ GSW,Nikola Jokić,203999,GSW
22,DEN vs. GSW,Nikola Jokić,203999,GSW
22,DEN @ GSW,Nikola Jokić,203999,GSW
19,DEN @ GSW,Nikola Jokić,203999,GSW
27,DEN @ GSW,Nikola Jokić,203999,GSW
17,DEN vs. HOU,Nikola Jokić,203999,HOU
32,DEN vs. HOU,Nikola Jokić,203999,HOU
28,DEN vs. HOU,Nikola Jokić,203999,HOU
24,DEN @ HOU,Nikola Jokić,203999,HOU
14,DEN @ HOU,Nikola Jokić,203999,HOU
19,DEN vs. HOU,Nikola Jokić,203999,HOU
24,DEN vs. HOU,Nikola Jokić,203999,HOU
29,DEN @ HOU,Nikola Jokić,203999,HOU
14,DEN @ HOU,Nikola Jokić,203999,HOU
24,DEN @ IND,Nikola Jokić,203999,IND
37,DEN @ IND,Nikola Jokić,203999,IND
32,DEN vs. IND,Nikola Jokić,203999,IND
20,DEN @ IND,Nikola Jokić,203999,IND
19,DEN @ LAC,Nikola Jokić,203999,LAC
30,DEN @ LAC,Nikola Jokić,203999,LAC
30,DEN vs. LAC,Nikola Jokić,203999,LAC
49,DEN vs. LAC,Nikola Jokić,203999,LAC
21,DEN @ LAC,Nikola Jokić,203999,LAC
12,DEN vs. LAC,Nikola Jokić,203999,LAC
40,DEN vs. LAC,Nikola Jokić,203999,LAC
26,DEN @ LAC,Nikola Jokić,203999,LAC
24,DEN vs. LAC,Nikola Jokić,203999,LAC
14,DEN @ LAC,Nikola Jokić,203999,LAC
23,DEN @ LAL,Nikola Jokić,203999,LAL
31,DEN vs. LAL,Nikola Jokić,203999,LAL
32,DEN @ LAL,Nikola Jokić,203999,LAL
17,DEN vs. LAL,Nikola Jokić,203999,LAL
14,DEN vs. LAL,Nikola Jokić,203999,LAL
23,DEN vs. LAL,Nikola Jokić,203999,LAL
13,DEN @ LAL,Nikola Jokić,203999,LAL
25,DEN @ LAL,Nikola Jokić,203999,LAL
38,DEN @ LAL,Nikola Jokić,203999,LAL
34,DEN @ MEM,Nikola Jokić,203999,MEM
23,DEN @ MEM,Nikola Jokić,203999,MEM
28,DEN @ MEM,Nikola Jokić,203999,MEM
18,DEN vs. MEM,Nikola Jokić,203999,MEM
26,DEN vs. MEM,Nikola Jokić,203999,MEM
15,DEN @ MEM,Nikola Jokić,203999,MEM
13,DEN vs. MEM,Nikola Jokić,203999,MEM
24,DEN vs. MEM,Nikola Jokić,203999,MEM
47,DEN vs. MEM,Nikola Jokić,203999,MEM
35,DEN vs. MEM,Nikola Jokić,203999,MEM
24,DEN @ MIA,Nikola Jokić,203999,MIA
25,DEN vs. MIA,Nikola Jokić,203999,MIA
21,DEN @ MIA,Nikola Jokić,203999,MIA
27,DEN @ MIA,Nikola Jokić,203999,MIA
19,DEN vs. MIA,Nikola Jokić,203999,MIA
17,DEN vs. MIA,Nikola Jokić,203999,MIA
31,DEN vs. MIL,Nikola Jokić,203999,MIL
37,DEN @ MIL,Nikola Jokić,203999,MIL
18,DEN @ MIL,Nikola Jokić,203999,MIL
35,DEN vs. MIL,Nikola Jokić,203999,MIL
26,DEN @ MIN,Nikola Jokić,203999,MIN
31,DEN @ MIN,Nikola Jokić,203999,MIN
31,DEN vs. MIN,Nikola Jokić,203999,MIN
35,DEN vs. MIN,Nikola Jokić,203999,MIN
19,DEN @ MIN,Nikola Jokić,203999,MIN
24,DEN @ MIN,Nikola Jokić,203999,MIN
20,DEN vs. MIN,Nikola Jokić,203999,MIN
21,DEN @ MIN,Nikola Jokić,203999,MIN
27,DEN vs. MIN,Nikola Jokić,203999,MIN
38,DEN vs. MIN,Nikola Jokić,203999,MIN
37,DEN @ NOP,Nikola Jokić,203999,NOP
29,DEN vs. NOP,Nikola Jokić,203999,NOP
46,DEN vs. NOP,Nikola Jokić,203999,NOP
26,DEN vs. NOP,Nikola Jokić,203999,NOP
29,DEN @ NOP,Nikola Jokić,203999,NOP
25,DEN @ NOP,Nikola Jokić,203999,NOP
25,DEN vs. NOP,Nikola Jokić,203999,NOP
39,DEN @ NOP,Nikola Jokić,203999,NOP
32,DEN @ NOP,Nikola Jokić,203999,NOP
32,DEN vs. NOP,Nikola Jokić,203999,NOP
32,DEN vs. NYK,Nikola Jokić,203999,NYK
24,DEN @ NYK,Nikola Jokić,203999,NYK
22,DEN @ NYK,Nikola Jokić,203999,NYK
21,DEN vs. NYK,Nikola Jokić,203999,NYK
32,DEN @ NYK,Nikola Jokić,203999,NYK
19,DEN vs. OKC,Nikola Jokić,203999,OKC
39,DEN @ OKC,Nikola Jokić,203999,OKC
15,DEN @ OKC,Nikola Jokić,203999,OKC
35,DEN vs. OKC,Nikola Jokić,203999,OKC
22,DEN vs. OKC,Nikola Jokić,203999,OKC
27,DEN vs. OKC,Nikola Jokić,203999,OKC
22,DEN @ OKC,Nikola Jokić,203999,OKC
19,DEN @ OKC,Nikola Jokić,203999,OKC
22,DEN vs. OKC,Nikola Jokić,203999,OKC
13,DEN @ OKC,Nikola Jokić,203999,OKC
28,DEN @ ORL,Nikola Jokić,203999,ORL
17,DEN vs. ORL,Nikola Jokić,203999,ORL
26,DEN vs. ORL,Nikola Jokić,203999,ORL
29,DEN @ ORL,Nikola Jokić,203999,ORL
18,DEN @ ORL,Nikola Jokić,203999,ORL
17,DEN vs. ORL,Nikola Jokić,203999,ORL
30,DEN vs. PHI,Nikola Jokić,203999,PHI
21,DEN vs. PHI,Nikola Jokić,203999,PHI
25,DEN vs. PHI,Nikola Jokić,203999,PHI
22,DEN @ PHI,Nikola Jokić,203999,PHI
24,DEN @ PHI,Nikola Jokić,203999,PHI
15,DEN @ PHI,Nikola Jokić,203999,PHI
27,DEN @ PHX,Nikola Jokić,203999,PHX
28,DEN vs. PHX,Nikola Jokić,203999,PHX
29,DEN @ PHX,Nikola Jokić,203999,PHX
31,DEN @ PHX,Nikola Jokić,203999,PHX
21,DEN vs. PHX,Nikola Jokić,203999,PHX
17,DEN vs. PHX,Nikola Jokić,203999,PHX
41,DEN vs. PHX,Nikola Jokić,203999,PHX
9,DEN @ POR,Nikola Jokić,203999,POR
28,DEN vs. POR,Nikola Jokić,203999,POR
21,DEN @ POR,Nikola Jokić,203999,POR
36,DEN vs. POR,Nikola Jokić,203999,POR
20,DEN vs. POR,Nikola Jokić,203999,POR
8,DEN @ POR,Nikola Jokić,203999,POR
41,DEN vs. POR,Nikola Jokić,203999,POR
29,DEN vs. POR,Nikola Jokić,203999,POR
33,DEN @ POR,Nikola Jokić,203999,POR
25,DEN @ POR,Nikola Jokić,203999,POR
38,DEN @ SAC,Nikola Jokić,203999,SAC
33,DEN vs. SAC,Nikola Jokić,203999,SAC
18,DEN vs. SAC,Nikola Jokić,203999,SAC
25,DEN @ SAC,Nikola Jokić,203999,SAC
50,DEN @ SAC,Nikola Jokić,203999,SAC
26,DEN @ SAC,Nikola Jokić,203999,SAC
40,DEN @ SAC,Nikola Jokić,203999,SAC
20,DEN @ SAC,Nikola Jokić,203999,SAC
29,DEN vs. SAC,Nikola Jokić,203999,SAC
32,DEN vs. SAS,Nikola Jokić,203999,SAS
26,DEN @ SAS,Nikola Jokić,203999,SAS
21,DEN vs. SAS,Nikola Jokić,203999,SAS
37,DEN @ SAS,Nikola Jokić,203999,SAS
35,DEN @ SAS,Nikola Jokić,203999,SAS
35,DEN @ SAS,Nikola Jokić,203999,SAS
22,DEN @ SAS,Nikola Jokić,203999,SAS
26,DEN vs. SAS,Nikola Jokić,203999,SAS
25,DEN vs. SAS,Nikola Jokić,203999,SAS
41,DEN vs. SAS,Nikola Jokić,203999,SAS
20,DEN @ TOR,Nikola Jokić,203999,TOR
28,DEN @ TOR,Nikola Jokić,203999,TOR
26,DEN vs. TOR,Nikola Jokić,203999,TOR
17,DEN vs. TOR,Nikola Jokić,203999,TOR
28,DEN @ TOR,Nikola Jokić,203999,TOR
19,DEN vs. TOR,Nikola Jokić,203999,TOR
12,DEN vs. UTA,Nikola Jokić,203999,UTA
24,DEN @ UTA,Nikola Jokić,203999,UTA
27,DEN @ UTA,Nikola Jokić,203999,UTA
24,DEN @ UTA,Nikola Jokić,203999,UTA
47,DEN vs. UTA,Nikola Jokić,203999,UTA
35,DEN vs. UTA,Nikola Jokić,203999,UTA
25,DEN vs. UTA,Nikola Jokić,203999,UTA
26,DEN vs. UTA,Nikola Jokić,203999,UTA
31,DEN vs. UTA,Nikola Jokić,203999,UTA
6,DEN @ UTA,Nikola Jokić,203999,UTA
31,DEN @ WAS,Nikola Jokić,203999,WAS
29,DEN @ WAS,Nikola Jokić,203999,WAS
24,DEN vs. WAS,Nikola Jokić,203999,WAS
33,DEN @ WAS,Nikola Jokić,203999,WAS
43,DEN vs. WAS,Nikola Jokić,203999,WAS
28,DEN vs. WAS,Nikola Jokić,203999,WAS
50,GSW vs. ATL,Stephen Curry,201939,ATL
31,GSW @ ATL,Stephen Curry,201939,ATL
37,GSW @ ATL,Stephen Curry,201939,ATL
3,GSW vs. BOS,Stephen Curry,201939,BOS
29,GSW @ BOS,Stephen Curry,201939,BOS
38,GSW vs. BOS,Stephen Curry,201939,BOS
30,GSW @ BOS,Stephen Curry,201939,BOS
32,GSW vs. BOS,Stephen Curry,201939,BOS
47,GSW @ BOS,Stephen Curry,201939,BOS
37,GSW @ BKN,Stephen Curry,201939,BKN
19,GSW vs. BKN,Stephen Curry,201939,BKN
26,GSW vs. BKN,Stephen Curry,201939,BKN
27,GSW vs. BKN,Stephen Curry,201939,BKN
20,GSW @ BKN,Stephen Curry,201939,BKN
31,GSW @ CHA,Stephen Curry,201939,CHA
24,GSW @ CHA,Stephen Curry,201939,CHA
15,GSW vs. CHA,Stephen Curry,201939,CHA
29,GSW vs. CHA,Stephen Curry,201939,CHA
40,GSW vs. CHI,Stephen Curry,201939,CHI
32,GSW vs. CHI,Stephen Curry,201939,CHI
20,GSW @ CHI,Stephen Curry,201939,CHI
19,GSW @ CHI,Stephen Curry,201939,CHI
36,GSW @ CHI,Stephen Curry,201939,CHI
19,GSW vs. CHI,Stephen Curry,201939,CHI
40,GSW @ CLE,Stephen Curry,201939,CLE
40,GSW vs. CLE,Stephen Curry,201939,CLE
28,GSW vs. CLE,Stephen Curry,201939,CLE
36,GSW vs. CLE,Stephen Curry,201939,CLE
33,GSW @ CLE,Stephen Curry,201939,CLE
32,GSW @ DAL,Stephen Curry,201939,DAL
20,GSW @ DAL,Stephen Curry,201939,DAL
21,GSW @ DAL,Stephen Curry,201939,DAL
18,GSW vs. DAL,Stephen Curry,201939,DAL
14,GSW @ DAL,Stephen Curry,201939,DAL
27,GSW vs. DAL,Stephen Curry,201939,DAL
57,GSW @ DAL,Stephen Curry,201939,DAL
21,GSW vs. DAL,Stephen Curry,201939,DAL
28,GSW @ DAL,Stephen Curry,201939,DAL
27,GSW vs. DAL,Stephen Curry,201939,DAL
34,GSW vs. DEN,Stephen Curry,201939,DEN
34,GSW @ DEN,Stephen Curry,201939,DEN
35,GSW @ DEN,Stephen Curry,201939,DEN
25,GSW vs. DEN,Stephen Curry,201939,DEN
28,GSW @ DEN,Stephen Curry,201939,DEN
23,GSW vs. DEN,Stephen Curry,201939,DEN
32,GSW vs. DEN,Stephen Curry,201939,DEN
53,GSW vs. DEN,Stephen Curry,201939,DEN
21,GSW @ DEN,Stephen Curry,201939,DEN
32,GSW @ DET,Stephen Curry,201939,DET
28,GSW vs. DET,Stephen Curry,201939,DET
18,GSW vs. DET,Stephen Curry,201939,DET
31,GSW @ DET,Stephen Curry,201939,DET
33,GSW @ HOU,Stephen Curry,201939,HOU
20,GSW vs. HOU,Stephen Curry,201939,HOU
30,GSW @ HOU,Stephen Curry,201939,HOU
30,GSW @ HOU,Stephen Curry,201939,HOU
18,GSW @ HOU,Stephen Curry,201939,HOU
40,GSW @ HOU,Stephen Curry,201939,HOU
22,GSW vs. HOU,Stephen Curry,201939,HOU
30,GSW vs. HOU,Stephen Curry,201939,HOU
38,GSW vs. HOU,Stephen Curry,201939,HOU
39,GSW vs. IND,Stephen Curry,201939,IND
20,GSW vs. IND,Stephen Curry,201939,IND
24,GSW @ IND,Stephen Curry,201939,IND
38,GSW @ IND,Stephen Curry,201939,IND
26,GSW @ IND,Stephen Curry,201939,IND
12,GSW vs. IND,Stephen Curry,201939,IND
45,GSW vs. LAC,Stephen Curry,201939,LAC
33,GSW @ LAC,Stephen Curry,201939,LAC
22,GSW vs. LAC,Stephen Curry,201939,LAC
50,GSW @ LAC,Stephen Curry,201939,LAC
14,GSW @ LAC,Stephen Curry,201939,LAC
15,GSW vs. LAC,Stephen Curry,201939,LAC
38,GSW vs. LAC,Stephen Curry,201939,LAC
13,GSW vs. LAC,Stephen Curry,201939,LAC
33,GSW @ LAC,Stephen Curry,201939,LAC
21,GSW @ LAL,Stephen Curry,201939,LAL
33,GSW vs. LAL,Stephen Curry,201939,LAL
27,GSW vs. LAL,Stephen Curry,201939,LAL
27,GSW @ LAL,Stephen Curry,201939,LAL
30,GSW @ LAL,Stephen Curry,201939,LAL
26,GSW @ LAL,Stephen Curry,201939,LAL
16,GSW @ LAL,Stephen Curry,201939,LAL
24,GSW vs. LAL,Stephen Curry,201939,LAL
36,GSW vs. MEM,Stephen Curry,201939,MEM
46,GSW vs. MEM,Stephen Curry,201939,MEM
16,GSW @ MEM,Stephen Curry,201939,MEM
29,GSW @ MEM,Stephen Curry,201939,MEM
34,GSW vs. MEM,Stephen Curry,201939,MEM
27,GSW @ MEM,Stephen Curry,201939,MEM
46,GSW vs. MEM,Stephen Curry,201939,MEM
33,GSW vs. MIA,Stephen Curry,201939,MIA
23,GSW @ MIA,Stephen Curry,201939,MIA
9,GSW vs. MIA,Stephen Curry,201939,MIA
25,GSW vs. MIA,Stephen Curry,201939,MIA
36,GSW @ MIA,Stephen Curry,201939,MIA
8,GSW vs. MIL,Stephen Curry,201939,MIL
36,GSW vs. MIL,Stephen Curry,201939,MIL
12,GSW @ MIL,Stephen Curry,201939,MIL
19,GSW @ MIL,Stephen Curry,201939,MIL
20,GSW @ MIL,Stephen Curry,201939,MIL
41,GSW vs. MIL,Stephen Curry,201939,MIL
25,GSW @ MIN,Stephen Curry,201939,MIN
25,GSW vs. MIN,Stephen Curry,201939,MIN
20,GSW vs. MIN,Stephen Curry,201939,MIN
34,GSW @ MIN,Stephen Curry,201939,MIN
29,GSW vs. MIN,Stephen Curry,201939,MIN
